[4, 1, 'AdaBoost', 0.9861444492070296, array([0.99845264, 0.93920794]), array([0.98428466, 0.99375655]), array([0.99131803, 0.96571256]), array([749968, 183232]), array([[738182,  11786],       [  1144, 182088]]), 1039.438570022583, 8.261409521102905]
[4, 2, 'Decision Tree', 0.92587441063009, array([0.99688931, 0.7298222 ]), array([0.91060552, 0.98836994]), array([0.95179593, 0.83964337]), array([749968, 183232]), array([[682925,  67043],       [  2131, 181101]]), 29.447593688964844, 0.12233114242553711]
[4, 3, 'Random Forest', 0.938300471495928, array([0.99039453, 0.77646888]), array([0.93226778, 0.96299227]), array([0.9604525 , 0.85973007]), array([749968, 183232]), array([[699171,  50797],       [  6781, 176451]]), 738.3053982257843, 4.3427574634552]
[4, 4, 'Bernoulli NB', 0.6662998285469353, array([0.92870479, 0.348026  ]), array([0.63339502, 0.80097909]), array([0.75313624, 0.48522248]), array([749968, 183232]), array([[475026, 274942],       [ 36467, 146765]]), 2.446922779083252, 0.5214099884033203]
[4, 5, 'Gaussian NB', 0.44031397342477496, array([0.9880469 , 0.25779372]), array([0.30728911, 0.98478432]), array([0.46878347, 0.40862014]), array([749968, 183232]), array([[230457, 519511],       [  2788, 180444]]), 3.144662857055664, 0.7535772323608398]
[5, 0, 'Linear SVC', 0.9116834547792542, array([0.98856169, 0.70255617]), array([0.90040619, 0.95759005]), array([0.94242689, 0.81048379]), array([749163, 184037]), array([[674551,  74612],       [  7805, 176232]]), 296.09825348854065, 0.07705140113830566]
[5, 1, 'AdaBoost', 0.9878911273039006, array([0.99819321, 0.9482926 ]), array([0.98670249, 0.99272972]), array([0.99241459, 0.9700025 ]), array([749163, 184037]), array([[739201,   9962],       [  1338, 182699]]), 1033.9353158473969, 8.277140855789185]
[5, 2, 'Decision Tree', 0.9261937419631376, array([0.99685361, 0.73161441]), array([0.91093794, 0.98829583]), array([0.95196121, 0.8408014 ]), array([749163, 184037]), array([[682441,  66722],       [  2154, 181883]]), 30.155953645706177, 0.12353777885437012]
[5, 3, 'Random Forest', 0.926430561508787, array([0.99060472, 0.74072019]), array([0.91705543, 0.96459408]), array([0.95241224, 0.83796203]), array([749163, 184037]), array([[687024,  62139],       [  6516, 177521]]), 732.3003907203674, 4.344332695007324]
[5, 4, 'Bernoulli NB', 0.6659783540505787, array([0.92842956, 0.34896893]), array([0.63269676, 0.8014584 ]), array([0.75255201, 0.48622642]), array([749163, 184037]), array([[473993, 275170],       [ 36539, 147498]]), 2.2786309719085693, 0.5249361991882324]
[5, 5, 'Gaussian NB', 0.5076371624517788, array([0.98815052, 0.28362489]), array([0.39137811, 0.98089515]), array([0.56068497, 0.44001877]), array([749163, 184037]), array([[293206, 455957],       [  3516, 180521]]), 3.007310152053833, 0.8049867153167725]
[6, 0, 'Linear SVC', 0.9119824260608659, array([0.9887442 , 0.70311727]), array([0.90061534, 0.95825997]), array([0.94262439, 0.81109711]), array([749180, 184020]), array([[674723,  74457],       [  7681, 176339]]), 357.66516947746277, 0.07636523246765137]
[6, 1, 'AdaBoost', 0.9879554222031719, array([0.99820954, 0.94852758]), array([0.98676687, 0.99279426]), array([0.99245522, 0.97015623]), array([749180, 184020]), array([[739266,   9914],       [  1326, 182694]]), 1030.2138278484344, 8.251977443695068]
[6, 2, 'Decision Tree', 0.9263984140591514, array([0.99688359, 0.73212122]), array([0.91116821, 0.98840343]), array([0.95210061, 0.84117496]), array([749180, 184020]), array([[682629,  66551],       [  2134, 181886]]), 29.897309064865112, 0.11911535263061523]
[6, 3, 'Random Forest', 0.9298328332618946, array([0.99192571, 0.74874306]), array([0.9200873 , 0.96950875]), array([0.95465694, 0.84494362]), array([749180, 184020]), array([[689311,  59869],       [  5611, 178409]]), 728.4759392738342, 4.343808174133301]
[6, 4, 'Bernoulli NB', 0.6661208744106301, array([0.92855128, 0.34909544]), array([0.63280253, 0.80176611]), array([0.75266682, 0.48640585]), array([749180, 184020]), array([[474083, 275097],       [ 36479, 147541]]), 1.9353320598602295, 0.5233690738677979]
[6, 5, 'Gaussian NB', 0.4357651093013288, array([0.98674246, 0.25690277]), array([0.30122   , 0.98352353]), array([0.46154538, 0.40739207]), array([749180, 184020]), array([[225668, 523512],       [  3032, 180988]]), 2.45505428314209, 0.7455010414123535]
[7, 0, 'Linear SVC', 0.9116063009001286, array([0.98874751, 0.7016824 ]), array([0.90019451, 0.95818495]), array([0.94239535, 0.81011475]), array([749558, 183642]), array([[674748,  74810],       [  7679, 175963]]), 316.24880743026733, 0.07690143585205078]
[7, 1, 'AdaBoost', 0.9871581654522075, array([0.998412  , 0.94407479]), array([0.9855795 , 0.99360168]), array([0.99195425, 0.96820529]), array([749558, 183642]), array([[738749,  10809],       [  1175, 182467]]), 1057.754732131958, 8.27647852897644]
[7, 2, 'Decision Tree', 0.9263426918131161, array([0.99702437, 0.73138061]), array([0.91101556, 0.98890232]), array([0.95208145, 0.84086631]), array([749558, 183642]), array([[682859,  66699],       [  2038, 181604]]), 30.665919065475464, 0.1221456527709961]
[7, 3, 'Random Forest', 0.9395992284612087, array([0.99080821, 0.78031151]), array([0.93346079, 0.96465406]), array([0.96127996, 0.86274558]), array([749558, 183642]), array([[699683,  49875],       [  6491, 177151]]), 754.4640500545502, 4.364483594894409]
[7, 4, 'Bernoulli NB', 0.6660640805829404, array([0.92874779, 0.34853359]), array([0.63279693, 0.80184816]), array([0.7527274 , 0.48587526]), array([749558, 183642]), array([[474318, 275240],       [ 36389, 147253]]), 2.298161506652832, 0.5705170631408691]
[7, 5, 'Gaussian NB', 0.44290934419202743, array([0.98816988, 0.25912776]), array([0.31013477, 0.98484551]), array([0.47210158, 0.41029951]), array([749558, 183642]), array([[232464, 517094],       [  2783, 180859]]), 3.0701005458831787, 0.9877808094024658]
[8, 0, 'Linear SVC', 0.9116598799828547, array([0.9885583 , 0.70220942]), array([0.90041633, 0.95750585]), array([0.94243091, 0.81022286]), array([749410, 183790]), array([[674781,  74629],       [  7810, 175980]]), 350.92709827423096, 0.07699728012084961]
[8, 1, 'AdaBoost', 0.988953064723532, array([0.99814653, 0.95331044]), array([0.98807862, 0.99251864]), array([0.99308706, 0.97251952]), array([749410, 183790]), array([[740476,   8934],       [  1375, 182415]]), 1044.905187368393, 8.272042751312256]
[8, 2, 'Decision Tree', 0.9262708958422632, array([0.99691312, 0.73148499]), array([0.91100999, 0.98849774]), array([0.95202769, 0.84078897]), array([749410, 183790]), array([[682720,  66690],       [  2114, 181676]]), 30.510152578353882, 0.12217044830322266]
[8, 3, 'Random Forest', 0.9391513073296185, array([0.99076746, 0.77908009]), array([0.9329219 , 0.96455193]), array([0.96097497, 0.8619516 ]), array([749410, 183790]), array([[699141,  50269],       [  6515, 177275]]), 733.7280304431915, 4.340607166290283]
[8, 4, 'Bernoulli NB', 0.6669599228461208, array([0.9285738 , 0.34933793]), array([0.63405479, 0.80113173]), array([0.75355932, 0.48652426]), array([749410, 183790]), array([[475167, 274243],       [ 36550, 147240]]), 2.431907892227173, 0.5227527618408203]
[8, 5, 'Gaussian NB', 0.48655057865409346, array([0.98712343, 0.2748076 ]), array([0.36539544, 0.98056478]), array([0.53336099, 0.42930155]), array([749410, 183790]), array([[273831, 475579],       [  3572, 180218]]), 3.099947690963745, 0.7558448314666748]
[9, 0, 'Linear SVC', 0.9118313330475782, array([0.98844626, 0.70260783]), array([0.90075964, 0.95702368]), array([0.94256798, 0.81031522]), array([749564, 183636]), array([[675177,  74387],       [  7892, 175744]]), 515.4708218574524, 0.07662487030029297]
[9, 1, 'AdaBoost', 0.9882447492498928, array([0.99837786, 0.94917847]), array([0.98696842, 0.99345444]), array([0.99264036, 0.97081189]), array([749564, 183636]), array([[739796,   9768],       [  1202, 182434]]), 1037.5659914016724, 8.253598690032959]
[9, 2, 'Decision Tree', 0.9261648092584654, array([0.9969482 , 0.73098217]), array([0.91086418, 0.98861879]), array([0.95196405, 0.84050047]), array([749564, 183636]), array([[682751,  66813],       [  2090, 181546]]), 30.580723762512207, 0.12112069129943848]
[9, 3, 'Random Forest', 0.9286808829832833, array([0.99161742, 0.74540653]), array([0.9189769 , 0.96829053]), array([0.95391627, 0.84235435]), array([749564, 183636]), array([[688832,  60732],       [  5823, 177813]]), 733.6966254711151, 4.337875604629517]
[9, 4, 'Bernoulli NB', 0.6657522503214744, array([0.9281125 , 0.34802923]), array([0.63288525, 0.79990851]), array([0.75258111, 0.48502899]), array([749564, 183636]), array([[474388, 275176],       [ 36744, 146892]]), 2.2881264686584473, 0.5196497440338135]
[9, 5, 'Gaussian NB', 0.444683883411916, array([0.98570655, 0.25930834]), array([0.31317806, 0.98146333]), array([0.47533347, 0.4102312 ]), array([749564, 183636]), array([[234747, 514817],       [  3404, 180232]]), 3.0286731719970703, 0.8023295402526855]
[10, 0, 'Linear SVC', 0.9113994856408059, array([0.98853122, 0.70106234]), array([0.90017604, 0.957294  ]), array([0.94228697, 0.80938307]), array([749830, 183370]), array([[674979,  74851],       [  7831, 175539]]), 493.23327445983887, 0.08440446853637695]
[10, 1, 'AdaBoost', 0.9879232747535363, array([0.99769938, 0.94999111]), array([0.98724644, 0.99069095]), array([0.99244539, 0.96991425]), array([749830, 183370]), array([[740267,   9563],       [  1707, 181663]]), 1372.2912945747375, 8.263375759124756]
[10, 2, 'Decision Tree', 0.9261262323189027, array([0.99693762, 0.73060259]), array([0.91085846, 0.98855865]), array([0.95195611, 0.84022777]), array([749830, 183370]), array([[682989,  66841],       [  2098, 181272]]), 29.631062507629395, 0.1201019287109375]
[10, 3, 'Random Forest', 0.9274603514787827, array([0.99084844, 0.74266403]), array([0.91820146, 0.96532148]), array([0.95314269, 0.83947965]), array([749830, 183370]), array([[688495,  61335],       [  6359, 177011]]), 905.353193283081, 4.391338348388672]
[10, 4, 'Bernoulli NB', 0.6653332618945563, array([0.92843531, 0.34744285]), array([0.6322233 , 0.80072531]), array([0.75221888, 0.48460895]), array([749830, 183370]), array([[474060, 275770],       [ 36541, 146829]]), 2.4275100231170654, 0.5212483406066895]
[10, 5, 'Gaussian NB', 0.4247524646378054, array([0.9910825 , 0.25328797]), array([0.28665564, 0.98945302]), array([0.4446911 , 0.40332869]), array([749830, 183370]), array([[214943, 534887],       [  1934, 181436]]), 3.098311185836792, 0.7614588737487793]
[11, 0, 'Linear SVC', 0.9113962708958423, array([0.98868779, 0.70093711]), array([0.90001867, 0.95790535]), array([0.94227186, 0.809518  ]), array([749780, 183420]), array([[674816,  74964],       [  7721, 175699]]), 465.1130328178406, 0.08160400390625]
[11, 1, 'AdaBoost', 0.9875192884697814, array([0.99739488, 0.94919483]), array([0.9870442 , 0.98946135]), array([0.99219254, 0.96890991]), array([749780, 183420]), array([[740066,   9714],       [  1933, 181487]]), 1352.4101054668427, 8.286378622055054]
[11, 2, 'Decision Tree', 0.9264509215602229, array([0.99694165, 0.73154633]), array([0.91125397, 0.98857267]), array([0.9521739, 0.8408566]), array([749780, 183420]), array([[683240,  66540],       [  2096, 181324]]), 29.609118461608887, 0.12054562568664551]
[11, 3, 'Random Forest', 0.9388201885983712, array([0.99070567, 0.7777724 ]), array([0.9326029 , 0.96423509]), array([0.96077665, 0.86102436]), array([749780, 183420]), array([[699247,  50533],       [  6560, 176860]]), 897.5508694648743, 4.378940582275391]
[11, 4, 'Bernoulli NB', 0.6664991427346764, array([0.92872798, 0.34848021]), array([0.6335325, 0.8012594]), array([0.75324105, 0.48571528]), array([749780, 183420]), array([[475010, 274770],       [ 36453, 146967]]), 2.2822823524475098, 0.5224814414978027]
